fold,f1_0,f1_1,f1_2,macro
1,0.9039341262580055,0.9984135378106822,0.6433566433566433,0.8485681024751104
2,0.9327354260089686,0.9989440337909187,0.7203065134099617,0.883995324403283
3,0.9205479452054794,0.9984168865435357,0.7,0.8729882772496717
4,0.930783242258652,0.9984152139461173,0.7292418772563177,0.8861467778203624
5,0.9301903898458749,0.9989440337909187,0.7232472324723247,0.8841272187030395
